Quantity,Designators,Package,Value,MPN,Manufacturer
1,BR1,VS-KBPC610PBF,,VS-KBPC610PBF,Vishay
1,C1,B32922D3334K000,0.33μF,B32922D3334K000,EPCOS
2,"C2, C3",LGC2H681MELC55,680μF,LGC2H681MELC55,Nichicon
1,C11,UCS2G100MPD1TD,10μF,UCS2G100MPD1TD,Nichicon
1,C12,EEU-FM1H681L,680μF,EEU-FM1H681L,Panasonic
1,C13,2.54mm 0.8dia PTH,0.1μF,C320C104K5R5TA,KEMET
1,D1,IDH12G65C6XKSA1,,IDH12G65C6XKSA1,Infinion
1,D5,1N4747A-TAP,,1N4747A-TAP,Vishay
2,"D6, D7",DO-41,,1N4004-TP,MCC
1,D8,DB104,,DB104,EVVO
1,F1,B84110A0000A040,,B84110A0000A040,EPCOS
2,"J1, J2",1709704,,1709704,Phoenix Contact
1,J3,"PHOENIX_PT_2,5/3-5,0-H",,1935789,Phoenix Contact
1,L1,PFC173136D-691K,690μH,PFC173136D-691K,ITG Electronics
1,M1,TO-220,,IPP60R190P6XKSA1,Infineon
1,Q1,TO-247,,IXFH50N60P3,IXYS
1,R1,BPR58C47LK,,BPR58C47LK,KOA Speer
2,"R11, R13",1W Axial Resistor,68kΩ,ROX1SJ68K,TE Connectivity
1,R12,1W Axial Resistor,1kΩ,,
1,SW1,TX2-12V,TX2-12V,,
1,T1,BV301S12012,,BV301S12012,Zettler Magnetics
1,VR1,TO-220,,L7812CV,STMicroelectronics
